,ACCELERATION,ACCELERATION_PEDAL,ACCELERATION_Y,ACCELERATION_Z,BRAKE_PEDAL,CLUTCH_PEDAL,CURVE_RADIUS,DISTANCE,DISTANCE_TO_NEXT_INTERSECTION,DISTANCE_TO_NEXT_STOP_SIGNAL,DISTANCE_TO_NEXT_TRAFFIC_LIGHT_SIGNAL,DISTANCE_TO_NEXT_VEHICLE,DISTANCE_TO_NEXT_YIELD_SIGNAL,FAST_LANE,FOG,FOG_LIGHTS,FRONT_WIPERS,GEARBOX,HEADING,HEAD_LIGHTS,HORN,INDICATORS,INDICATORS_ON_INTERSECTION,LANE,LANE_LATERAL_SHIFT_CENTER,LANE_LATERAL_SHIFT_LEFT,LANE_LATERAL_SHIFT_RIGHT,LANE_WIDTH,RAIN,REAR_WIPERS,ROAD_ANGLE,SNOW,SPEED,SPEED_LIMIT,SPEED_NEXT_VEHICLE,SPEED_Y,SPEED_Z,STEERING_WHEEL
0,-0.187136,0.0,0.02629522,0.15612579999999998,400.0,1.0,111.8968,0.009379492709653471,472.7102,99000.0,99000.0,99000.0,99000,2,4000,0,4,1,1.83267062674474,2,0,0,0,2,0.4152063,-1.481294,2.311706,5.5,0,4,99.5531,0,0.01369797,90.0,0.0,-0.002065664,-0.02800036,-0.03283777
1,-0.1818292,0.0,0.02857085,0.0450196,400.0,1.0,111.8968,0.00963621170265352,472.7102,99000.0,99000.0,99000.0,99000,2,4000,0,4,1,1.83267850612301,2,0,0,0,2,0.4152063,-1.481294,2.311706,5.5,0,4,99.5531,0,0.007431129,90.0,0.0,-0.001165938,-0.02501156,-0.03307746
2,-0.1638693,0.0,0.0277887,0.03005072,400.0,1.0,111.9021,0.009886246044032059,472.7093,99000.0,99000.0,99000.0,99000,2,4000,0,4,1,1.8326799577741493,2,0,0,0,2,0.4152382000000001,-1.481262,2.311738,5.5,0,4,99.55361,0,0.005702926999999999,90.0,0.0,-0.0008836479,-0.02464709,-0.03331716
3,-0.1282266,0.0,0.02563565,0.02068265,400.0,1.0,111.9031,0.0101923575568642,472.7091,99000.0,99000.0,99000.0,99000,2,4000,0,4,1,1.8326813533016,2,0,0,0,2,0.4152526,-1.481247,2.311753,5.5,0,4,99.55371,0,0.00329296,90.0,0.0,-0.0004383468,-0.02425628,-0.03355685
4,-0.09968811,0.0,0.02337596,0.02479481,400.0,1.0,111.9031,0.0104213197966591,472.7091,99000.0,99000.0,99000.0,99000,2,4000,0,4,1,1.83268167094589,2,0,0,0,2,0.4152526,-1.481247,2.311753,5.5,0,4,99.55371,0,0.00193102,90.0,0.0,-0.0001421483,-0.02399023,-0.03379654
5,-0.08196129,0.0,0.02195719,0.03074847,400.0,1.0,111.9034,0.0106589997750088,472.709,99000.0,99000.0,99000.0,99000,2,4000,0,4,1,1.83268161455848,2,0,0,0,2,0.415259,-1.481241,2.311759,5.5,0,4,99.55373,0,0.001253855,90.0,0.0,2.739883e-05,-0.0237818,-0.03379654
6,-0.06389184,0.0,0.01994489,0.03896933,400.0,1.0,111.9038,0.0108927067047557,472.709,99000.0,99000.0,99000.0,99000,2,4000,0,4,1,1.83268133578897,2,0,0,0,2,0.4152681,-1.481232,2.311768,5.5,0,4,99.55377,0,0.0006748886999999999,90.0,0.0,0.0001938257,-0.02350191,-0.03403623
7,-0.04719085,0.0,0.01798267,0.04826963,400.0,1.0,111.9039,0.0111214969246821,472.7089,99000.0,99000.0,99000.0,99000,2,4000,0,4,1,1.83268085970273,2,0,0,0,2,0.4152738,-1.481226,2.311774,5.5,0,4,99.55379,0,0.0002349836,90.0,0.0,0.0003450533,-0.02315108,-0.03403623
8,-0.03230169,0.0,0.01600682,0.05784419,400.0,1.0,111.9039,0.0113332888126677,472.7089,99000.0,99000.0,99000.0,99000,2,4000,0,4,1,1.83268021883985,2,0,0,0,2,0.4152738,-1.481226,2.311774,5.5,0,4,99.55379,0,-7.884281999999999e-05,90.0,0.0,0.0004792034,-0.02272417,-0.03427592
9,-0.009669816,0.0,0.01212522,0.07463568,400.0,1.0,111.9043,0.0115493447876538,472.7089,99000.0,99000.0,99000.0,99000,2,4000,0,4,1,1.8326785092628703,2,0,0,0,2,0.4152929,-1.481207,2.311793,5.5,0,4,99.55382,0,-0.0003887971,90.0,0.0,0.0006950588000000001,-0.02168837,-0.03451562
10,-0.001464946,0.0,0.01021227,0.08138519999999999,400.0,1.0,111.9043,0.0117676325873301,472.7089,99000.0,99000.0,99000.0,99000,2,4000,0,4,1,1.83267742527796,2,0,0,0,2,0.4152996,-1.4812,2.3118,5.5,0,4,99.55382,0,-0.0004303674,90.0,0.0,0.0007839514999999999,-0.0210615,-0.03451562
11,0.005472593,0.0,0.007930273,0.08729224,400.0,1.0,111.9044,0.0119569543247171,472.7088,99000.0,99000.0,99000.0,99000,2,4000,0,4,1,1.83267589713474,2,0,0,0,2,0.4153059,-1.481194,2.311806,5.5,0,4,99.55383,0,-0.0004063353,90.0,0.0,0.0008741002,-0.02021408,-0.03451562
12,0.008546296,0.0,0.006243815,0.08978288,400.0,1.0,111.9046,0.0121475258529723,472.7088,99000.0,99000.0,99000.0,99000,2,4000,0,4,1,1.83267455682548,2,0,0,0,2,0.4153216,-1.481178,2.3118220000000003,5.5,0,4,99.55386,0,-0.0003485674,90.0,0.0,0.0009309162,-0.01950381,-0.03427592
13,0.009533493,0.0,0.004585148,0.09016328,400.0,1.0,111.9046,0.0122212412607845,472.7088,99000.0,99000.0,99000.0,99000,2,4000,0,4,1,1.83267312298464,2,0,0,0,2,0.4153287000000001,-1.481171,2.311829,5.5,0,4,99.55386,0,-0.00027498560000000004,90.0,0.0,0.0009738079,-0.01878237,-0.03427592
