,ACCELERATION,ACCELERATION_PEDAL,ACCELERATION_Y,ACCELERATION_Z,BRAKE_PEDAL,CLUTCH_PEDAL,CURVE_RADIUS,DISTANCE,DISTANCE_TO_NEXT_INTERSECTION,DISTANCE_TO_NEXT_STOP_SIGNAL,DISTANCE_TO_NEXT_TRAFFIC_LIGHT_SIGNAL,DISTANCE_TO_NEXT_VEHICLE,DISTANCE_TO_NEXT_YIELD_SIGNAL,FAST_LANE,FOG,FOG_LIGHTS,FRONT_WIPERS,GEARBOX,HEADING,HEAD_LIGHTS,HORN,INDICATORS,INDICATORS_ON_INTERSECTION,LANE,LANE_LATERAL_SHIFT_CENTER,LANE_LATERAL_SHIFT_LEFT,LANE_LATERAL_SHIFT_RIGHT,LANE_WIDTH,RAIN,REAR_WIPERS,ROAD_ANGLE,SNOW,SPEED,SPEED_LIMIT,SPEED_NEXT_VEHICLE,SPEED_Y,SPEED_Z,STEERING_WHEEL
0,0.001503473,0.0,7.492821e-05,0.4029345,0.0,1.0,99000.0,0.0183001908364491,3100.3320000000012,99000.0,99000.0,221.3814,99000,1,0,0,4,1,0.7784142460673941,2,0,0,0,1,-1.005089,-1.901589,-0.1085893,3.5,0,4,44.64157,0,0.00472194,90.0,0.0,-1.69914e-05,-0.01528079,0.04170637
1,0.001503473,0.0,7.492821e-05,0.4029345,0.0,1.0,99000.0,0.0184088993764187,3100.3320000000012,99000.0,99000.0,221.3814,99000,1,0,0,4,1,0.7784142460673941,2,0,0,0,1,-1.005089,-1.901589,-0.1085893,3.5,0,4,44.64157,0,0.00472194,90.0,0.0,-1.69914e-05,-0.01528079,0.04170637
2,0.001503473,0.0,7.492821e-05,0.4029345,0.0,1.0,99000.0,0.0185513544554473,3100.3320000000012,99000.0,99000.0,221.3814,99000,1,0,0,4,1,0.7784142460673941,2,0,0,0,1,-1.005089,-1.901589,-0.1085893,3.5,0,4,44.64157,0,0.00472194,90.0,0.0,-1.69914e-05,-0.01528079,0.04170637
3,-0.004136023,0.0,9.637335e-05,0.3339089000000001,0.0,1.0,99000.0,0.0186309249449553,3100.3320000000012,99000.0,99000.0,221.3813,99000,1,0,0,4,1,0.7784138624298309,2,0,0,0,1,-1.005088,-1.901588,-0.1085884,3.5,0,4,44.64157,0,0.004697066,90.0,0.0,-1.6718010000000002e-05,-0.007690896999999999,0.04122698
4,-0.004136023,0.0,9.637335e-05,0.3339089000000001,0.0,1.0,99000.0,0.0186985320089666,3100.3320000000012,99000.0,99000.0,221.3813,99000,1,0,0,4,1,0.7784138624298309,2,0,0,0,1,-1.005088,-1.901588,-0.1085884,3.5,0,4,44.64157,0,0.004697066,90.0,0.0,-1.6718010000000002e-05,-0.007690896999999999,0.04122698
5,-0.003749209,0.0,0.00017233610000000002,0.22296420000000008,0.0,1.0,99000.0,0.018744595290522,3100.3320000000012,99000.0,99000.0,221.3813,99000,1,0,0,4,1,0.7784133600927711,2,0,0,0,1,-1.005088,-1.901588,-0.1085884,3.5,0,4,44.64157,0,0.004594174,90.0,0.0,-1.599182e-05,-0.00126329,0.0407476
6,-0.006457428,0.0,0.0001983757,0.1826708,0.0,1.0,99000.0,0.0187823699794821,3100.3320000000012,99000.0,99000.0,221.3813,99000,1,0,0,4,1,0.778413171364761,2,0,0,0,1,-1.005088,-1.901588,-0.10858800000000003,3.5,0,4,44.64157,0,0.004552715,90.0,0.0,-1.624924e-05,0.0003499639,0.04026822
7,-0.008806484,0.0,-0.0004058695,0.1428524,0.0,1.0,99000.0,0.0188333417673692,3100.3320000000012,99000.0,99000.0,221.3813,99000,1,0,0,4,1,0.778412976835487,2,0,0,0,1,-1.005088,-1.901588,-0.1085877,3.5,0,4,44.64157,0,0.004490713,90.0,0.0,-1.7181529999999993e-05,0.0016416470000000002,0.03930945
8,-0.01081565,0.0,-3.772093e-06,0.1005902,0.0,1.0,99000.0,0.018888123812441003,3100.3320000000012,99000.0,99000.0,221.3814,99000,1,0,0,4,1,0.7784127502750892,2,0,0,0,1,-1.005087,-1.901587,-0.1085875,3.5,0,4,44.64157,0,0.004400825,90.0,0.0,-1.828534e-05,0.002724565,0.03883006
9,-0.01181332,0.0,-7.420187e-05,0.03973905,0.0,1.0,99000.0,0.0189706455839586,3100.3320000000012,99000.0,99000.0,221.3814,99000,1,0,0,4,1,0.778412350637664,2,0,0,0,1,-1.005087,-1.901587,-0.1085874,3.5,0,4,44.64157,0,0.004226794,90.0,0.0,-2.036936e-05,0.003745458,0.03715222
